Kod stacji,N,E
DsCzerStraza,,
DsDzialoszyn,,
DsDziePilsud,,
DsJelGorOgin,50.913433,15.765608
DsKlodzSzkol,,
DsKostrzaMOB,,
DsLegAlRzecz,51.204503,16.180513
DsMiliczMOB,,
DsNowRudJezi,,
DsOlawZolnAK,,
DsOsieczow21,,
DsSrodaSlMOB,,
DsTrzebniMaj,,
DsWalbrzWyso,50.768729,16.269677
DsWrocAlWisn,,
DsWrocBartni,,
DsWrocWybCon,,
KpBydPlPozna,,
KpBydWarszaw,,
KpCiechTezni,,
KpGrudPilsud,,
KpInowSolank,,
KpKoniczynka,,
KpNaklWawrzy,,
KpSolecRowecMOB,,
KpToruDziewu,,
KpToruKaszow,,
KpToruWSikor,,
KpWloclKalis,,
KpWloclOkrze,,
KpZielBoryTu,,
LbBiaPodOrze,,
LbChelmPolan,,
LbFlorianRPN,,
LbLubObywate,,
LbPulaKarpin,,
LbRadzPodSit,,
LbZamoHrubie,,
LdGajewUjWod,,
LdKutn1Maja7MOB,,
LdLaskNarutoMOB,,
LdLodzCzerni,,
LdLodzGdansk,,
LdLodzJanPaw,,
LdPabiKonsta,,
LdParzniUjWo,,
LdPioTrKraPr,,
LdRadomsRoln,,
LdZgieMielcz,,
LuGorzKosGdy,,
LuGubinAnderMOB,,
LuNowaSolKos,,
LuSmolBytnic,,
LuSulecDudka,,
LuWsKaziWiel,,
LuZarySzyman,,
LuZielKrotka,,
MpKaszowLisz,,
MpKrakAlKras,,
MpKrakBujaka,,
MpKrakBulwar,,
MpKrakDietla,,
MpKrakOsPias,,
MpKrakSwoszo,,
MpKrakWadow,,
MpKrakZloRog,,
MpMszanaDoln,,
MpNiepo3Maja,,
MpNoSaczNadb,,
MpNoTargPSlo,,
MpOlkuCegiel,,
MpOswiecBema,,
MpRabkaOrkan,,
MpSkawOsOgro,,
MpSuchaNiesz,,
MpSzarowSpok,,
MpSzymbaGorl,,
MpTarBitStud,,
MpTarRoSitko,,
MpTrzebOsZWM,,
MpZabieWapie,,
MpZakopaSien,,
MzBelsIGFPAN,,
MzBialaKmiciMOB,,
MzGranicaKPN,,
MzGutyDuCzer,,
MzKonJezWieMOB,,
MzLegZegrzyn,,
MzOtwoBrzozo,,
MzPiasPulask,,
MzPlocKroJad,,
MzPlocMiReja,,
MzRadTochter,,
MzSiedKonars,,
MzSierWiosnyMOB,,
MzWarAlNiepo,,
MzWarBajkowa,,
MzWarChrosci,,
MzWarKondrat,,
MzWarTolstoj,,
MzWarWokalna,,
MzZyraRoosev,,
OpBrzegPoprz,,
OpGlubRatusz,,
OpKKozBSmial,,
OpNysaRodzie,,
OpOlesSlowac,,
OpOpoleKoszy,,
OpStrzOpWysz,,
OpZdziePiast,,
PdAugustowUz,,
PdBialWarsza,,
PdBialWaszyn,,
PdBorsukowiz,,
PdGrajewoWPoMOB,,
PdLomSikorsk,,
PkDebiGrottg,,
PkJarosPruch,,
PkJasloSikor,,
PkKrempnaMPN,,
PkKrosKletow,,
PkLatosZdrojMOB,,
PkMielBierna,,
PkNiskoSzkla,,
PkPrzemGrunw,,
PkRymZdrPark,,
PkRzeszPilsu,,
PkRzeszRejta,,
PkSanoSadowa,,
PkTarnDabrow,,
PmChojPlEmsdMOB,,
PmGdaLeczkow,,
PmGdaPowWars,,
PmGdaWyzwole,,
PmGdyPorebsk,,
PmGdySzafran,,
PmKosTargowa,,
PmLebMalczew,,
PmLinieKosci,,
PmMalMickiew,,
PmSlupKniazi,,
PmSopBiPlowc,,
SkGoluUjWody,,
SkKielJurajs,,
SkKielTargow,,
SkKielWarsz1,,
SkNowiParkow,,
SkOpatPartyz,,
SkPolaRuszcz,,
SkSandZielnaMOB,,
SkStaraZlota,,
SlBielKossak,,
SlBielPartyz,,
SlCiesChopin,,
SlCzestoArmK,,
SlCzestoBacz,,
SlDabroTysia,,
SlGliwicMewy,,
SlGoczaUzdroMOB,,
SlKatoKossut,,
SlKatoPlebA4,,
SlLublSzymal,,
SlRaciborzWPMOB,,
SlRybniBorki,,
SlSosnoLubel,,
SlTychyTolst,,
SlUstronSana,,
SlWodzGalczy,,
SlZabSkloCur,,
SlZawGalczyn,,
SlZlotPotLes,,
SlZorySikor2,,
SlZywieKoper,,
WmBiskupMickMOB,,
WmElbBazynsk,,
WmElkStadion,,
WmGoldJacwie,,
WmOlsPuszkin,,
WmOstrPilsud,,
WmPuszczaBor,,
WpBoroDrapal,,
WpKaliSawick,,
WpKoniWyszyn,,
WpKozieosLes,,
WpMosinaCzer,,
WpPiaskiKrzy,,
WpPilaKusoci,,
WpPleszAlMic,,
WpPoznDabrow,,
WpPoznPolank,,
WpSzamotKollMOB,,
ZpKolKasprowMOB,,
ZpKoszArKraj,,
ZpKoszChopin,,
ZpSzczAndrze,,
ZpSzczecPrze,,
ZpSzczPilsud,,
ZpWiduBulRyb,,
